STA_ID,Station_Name,Elevation,Latitude,Longitude,Nearby_City,HydroID,BasinID,Owner,Maintenance,Operator,MapID,CollectID,County,Basin,Agency,HydroArea,Sensors
ACC,ALAMEDA CK BL CALAVERAS CK NR SUNOL CA,430,37.504,-121.824,SUNOL,2,2101, , ,58,23,0,SANTA CLARA,ALAMEDA CR,US Geological Survey,SAN FRANCISCO BAY,"1,14"
ACD,ALAMEDA CK ABOVE DIV DAM NR SUNOL CA,930,37.49743652,-121.7735672,SUNOL,2,2101, , ,58,23,0,SANTA CLARA,ALAMEDA CR,US Geological Survey,SAN FRANCISCO BAY,"1,14"
ACK,ARCADE CK NR DEL PASO HTS,50,38.634,-121.382,SACRAMENTO,5,7701, , ,58,17,0,SACRAMENTO,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"1,14,20"
ACM,ARROYO CORTE MADERA DEL PRESIDIO,3,37.898,-122.535,MILL VALLEY,2,2801, , ,121,22,0,MARIN,SF BAY,Marin County,SAN FRANCISCO BAY,16
ACZ,ALHAMBRA CREEK AT D STREET,59,38.00339914,-122.1296688,MARTINEZ,2,2001, , ,107,15,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1
ADR,AUBURN DAM RIDGE,1200,38.882,-121.045,AUBURN,5,7701,50,700,50,17,0,PLACER,AMERICAN R,US Bureau of Reclamation,SACRAMENTO RIVER,"2,4,14,16,30,31,32,45"
ADS,ALDER SPRINGS NEAR ELK CREEK,4500,39.65,-122.725,ORLAND,5,7251, , ,44,12,0,GLENN,STONY CR,US Forest Service,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
AFD,AMERICAN R BELOW FOLSOM DAM,220,38.6883,-121.1667,FOLSOM,5,7701, , ,58,17,0,SACRAMENTO,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"14,25"
AFO,AMERICAN RIVER AT FAIR OAKS,72,38.6354599,-121.2277298,FAIR OAKS,5,7701, , ,58,17,0,SACRAMENTO,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"1,14,20,25"
AGL,ANGIOLA,205,36,-119.45,TULARE,6,9001, , ,999,31,0,TULARE,SAN JOAQUIN R,None Specified,SAN JOAQUIN RIVER,2
AGP,AGNEW PASS,9450,37.7244,-119.143,MAMMOTH LAKES,6,9001,50,700,700,25,0,MADERA,SAN JOAQUIN R,CA Dept of Water Resources/Flood Management,SAN JOAQUIN RIVER,"3,4,14,18,30,31,32,82"
AGW,A.G. WISHON (PG&E),1000,37.151,-119.505,NORTH FORK,6,9001, , ,60,25,0,MERCED,SAN JOAQUIN R,Pacific Gas & Electric,SAN JOAQUIN RIVER,"2,14,16,30,45"
AHD,ARROYO HONDO NR SAN JOSE CA,784,37.46160507,-121.7693939,SAN JOSE,2,2101, , ,58,23,0,SANTA CLARA,ALAMEDA CR,US Geological Survey,SAN FRANCISCO BAY,"1,14"
AHZ,AMERICAN R AT HAZEL AVE BRIDGE,100,38.636,-121.224,SACRAMENTO,5,7701, , ,58,17,0,SACRAMENTO,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"14,25"
ALD,ALDER POINT,923,40.232,-123.712,ALDERPOINT,1,1201, , ,3,7,0,HUMBOLDT,EEL R,CAL FIRE,NORTH COAST,"2,4,9,10,11,12,13,14,30,31,32,77,78"
ALI,LAKE ALPINE,7550,38.48,-120.013,BEAR VALLEY,6,8501, , ,999,18,0,ALPINE,STANISLAUS R,None Specified,SAN JOAQUIN RIVER,"3,18,82"
ALM,LAKE ALMANOR,4600,40.218,-121.173,CHESTER,5,7301, , ,60,9,0,PLUMAS,FEATHER R,Pacific Gas & Electric,SACRAMENTO RIVER,"6,15,22,23,68,74,76"
ALN,ALAMEDA CK NR NILES,86,37.5871582,-121.9607925,NILES,2,2101, , ,58,23,0,ALAMEDA,ALAMEDA CR,US Geological Survey,SAN FRANCISCO BAY,"1,14,20,25"
ALP,ALPHA (SMUD),7600,38.80419159,-120.2156525,STRAWBERRY,5,7701,700,999,85,999,0,EL DORADO,AMERICAN R,Sacramento Municipal Utility District,SACRAMENTO RIVER,"3,4,30,31,32,82"
ALS,ALDER SPRINGS (USACE),4500,39.65,-122.725,ELK CREEK,5,7251, , ,56,12,0,GLENN,STONY CR,US Army Corps of Engineers,SACRAMENTO RIVER,"2,45"
ALY,ALLEGHANY,4957,39.47,-120.875,ALLEGHANY,5,7401,701,999,703,14,0,SIERRA,YUBA R,CA Dept of Water Resources/O & M,SACRAMENTO RIVER,"2,14,45"
AMA,AMERICAN MF NR AUBURN,88,38.872,-121.055,AUBURN,5,7701, , ,58,17,0,PLACER,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"65,66"
AMC,ARCADE CREEK AT WINDING WAY,70,38.645,-121.347,SACRAMENTO,5,7701, , ,134,17,0,SACRAMENTO,AMERICAN R,Sacramento County,SACRAMENTO RIVER,"1,16"
AMF,AMERICAN R AT FOLSOM,0,38.683,-121.183,FOLSOM,5,7701, , ,702,17,0,SACRAMENTO,AMERICAN R,CA Dept of Water Resources/Snow Surveys,SACRAMENTO RIVER,"41,65,66,72"
AMK,AMERICAN SF NR KYBURZ,3840,38.764,-120.325,KYBURZ,5,7701, , ,58,18,0,EL DORADO,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"1,20,65,66"
AMN,AMERICAN NF AT N FORK DAM,715,38.9361,-121.0228,FOLSOM,5,7701, , ,58,17,0,SACRAMENTO,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"65,66"
AMR,MRECED R AT AMSTERDAM RD,173,37.46806,-120.53889,SNELLING,6,8701, , ,204,23,2,MERCED,MERCED R,Merced Irrigation District,SAN JOAQUIN RIVER,"1,2,4,9,10,12,14"
AMW,KINGS RIVER BELOW ARMY WEIR,230,36.386,-119.787,LEMOORE,7,9401, , ,56,31,0,KINGS,KINGS R,US Army Corps of Engineers,TULARE LAKE,"1,20"
ANC,ANTIOCH (USBR),10,38.004,-121.804,ANTIOCH,5,8101, , ,50,17,0,CONTRA COSTA,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,"14,25,100,102"
AND,SACRAMENTO RIVER AT ANDERSON,397,40.471333,-122.29536,ANDERSON,5,6501, , ,707,7,2,SHASTA,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"14,25"
ANG,ANGWIN,1815,38.5712,-122.4332,ST HELENA,2,1901,700,999,700,16,0,NAPA,NAPA R,CA Dept of Water Resources/Flood Management,SAN FRANCISCO BAY,"2,4,14,16,45"
ANH,SAN JOAQUIN RIVER AT ANTIOCH,10,38.0178299,-121.8029633,ANTIOCH,5,9001, , ,705,999,0,CONTRA COSTA,SAN JOAQUIN R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,4,5,9,10,14,25,26,27,28,61,62,100,102,141,146"
ANL,ANTELOPE CREEK AT LANDFILL,200,38.764,-121.26,ROSEVILLE,5,7701, , ,73,17,0,PLACER,AMERICAN R,City of Roseville,SACRAMENTO RIVER,1
ANR,ANTELOPE RIDGE,5650,40.155,-120.542,SUSANVILLE,5,7301, , ,2,10,0,PLUMAS,FEATHER R,CA Dept of Water Resources,SACRAMENTO RIVER,"3,18,82"
ANT,ANTELOPE LAKE,4960,40.18,-120.607,SUSANVILLE,5,7301, , ,703,10,0,PLUMAS,FEATHER R,CA Dept of Water Resources/O & M,SACRAMENTO RIVER,"2,4,6,14,15,22,30,31,32,45,65"
ANU,ARGONAUT DAM CA ARB RAWS,1513,38.3536,-120.7902,JACKSON,6,8301, , ,716,17,2,AMADOR,MOKELUMNE R,CA Air Resources Board,SAN JOAQUIN RIVER,"2,4,9,10,12,14,17,26,45,77,78"
APH,ALPHA,7600,38.80413818,-120.2156448,TWIN BRIDGES,5,7701, , ,1,999,0,EL DORADO,AMERICAN R,CA Dept of Water Resources,SACRAMENTO RIVER,"3,18,82"
APN,ALPINE LAKE,654,37.94,-122.637,STINSON BEACH,2,1701, , ,89,22,0,MARIN,COAST-MARIN,Marin Municipal Water District,SAN FRANCISCO BAY,15
APP,ANTIOCH PUMP PLANT,60,37.984,-121.728,ANTIOCH,6,8101, , ,97,23,0,CONTRA COSTA,DELTA,Contra Costa Water District,SAN JOAQUIN RIVER,2
APS,AMERICAN RIVER PUMP STATION,480,38.9,-121.1,AUBURN,5,7701, , ,87,16,0,SACRAMENTO,AMERICAN R,Placer County Water Agency,SACRAMENTO RIVER,"66,110"
APT,APTOS CREEK AT RIDER ROAD,1123,37.0361,-121.8528,SANTA CRUZ,3,2901, , ,144,23,0,SANTA CRUZ,SAN LORENZO R,Santa Cruz County,CENTRAL COAST,16
APU,ANGWIN PACIFIC UNION COL,1815,38.5731,-122.4406,ST HELENA,2,1901, , ,40,16,0,NAPA,NAPA R,National Weather Service,SAN FRANCISCO BAY,2
ARD,ARCADE CREEK AT SUNRISE BLVD,22,38.684,-121.271,SACRAMENTO,5,7701, , ,500,17,0,SACRAMENTO,AMERICAN R,Sacramento Dept of Public Works,SACRAMENTO RIVER,1
ARP,SO FRK AMERICAN R NR PILOT HILL,500,38.763,-121.007,PILOT HILL,5,7701, , ,58,17,0,EL DORADO,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"14,25"
ARW,ARDEN WAY,35,38.596,-121.413,SACRAMENTO,5,7701, , ,134,17,13,SACRAMENTO,AMERICAN R,Sacramento County,SACRAMENTO RIVER,"1,2,16,45"
ARY,ARROYO SECO,980,36.23,-121.488,GREENFIELD,3,3301, , ,44,29,0,MONTEREY,SALINAS R,US Forest Service,CENTRAL COAST,"2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
ASM,ASH MOUNTAIN,1708,36.483,-118.833,THREE RIVERS,7,9501, , ,53,32,0,TULARE,KAWEAH R,Sequoia and Kings Canyon National Parks,TULARE LAKE,"2,45,203"
ASS,ARROYO SECO NR SOLEDAD,399,36.28052139,-121.3227081,SOLEDAD,3,3301, , ,58,29,0,MONTEREY,SALINAS R,US Geological Survey,CENTRAL COAST,"1,14,20,65,66"
AST,AUSTRIAN,1125,37.132,-121.93,SAN JOSE,2,2301, , ,213,23,0,SANTA CLARA,LOS GATOS CR (NEAR SAN JOSE),San Jose Water Company,SAN FRANCISCO BAY,15
ASV,AMERICAN-SF SILVER CREEK,5290,38.819,-120.364,KYBURZ,5,7701, , ,85,18,0,EL DORADO,AMERICAN R,Sacramento Municipal Utility District,SACRAMENTO RIVER,"65,66"
ATL,ATLAS PEAK,1660,38.42833333,-122.2483333,NAPA,2,1901,700,999,700,15,0,NAPA,NAPA R,CA Dept of Water Resources/Flood Management,SAN FRANCISCO BAY,"2,4,14,16,45"
ATP,ANTHONY PEAK,6200,39.842,-122.95,,5,7251, , ,21,12,0,TEHAMA,STONY CR,Covelo Ranger District,SACRAMENTO RIVER,"3,18,82"
ATS,ANTELOPE SPRINGS,4350,38.503,-120.467,,6,8301, , ,12,18,0,AMADOR,MOKELUMNE R,Amador Ranger District,SAN JOAQUIN RIVER,"3,18,82"
ATW,ATWELL CAMP,6400,36.464,-118.631,SILVER CITY,7,9501, , ,56,32,0,TULARE,KAWEAH R,US Army Corps of Engineers,TULARE LAKE,"2,45"
AUB,AUBURN,1292,38.917,-121.083,AUBURN,5,7701, , ,40,17,0,PLACER,AMERICAN R,National Weather Service,SACRAMENTO RIVER,2
AVL,ARROYO VALLE NR LIVERMORE,510,37.62326431,-121.7588425,LIVERMORE,2,2001, , ,58,23,0,ALAMEDA,EAST BAY,US Geological Survey,SAN FRANCISCO BAY,"1,14,20,66"
AVY,NORTH FORK STANISLAUS NEAR AVERY,3388,38.243889,-120.290001,AVERY,6,8501, , ,615,17,37,CALAVERAS,STANISLAUS R,Northern California Power Agency,SAN JOAQUIN RIVER,20
AWB,AMERICAN RIVER BELOW WATT AVE BRIDGE,50,38.567,-121.387,SACRAMENTO,5,7701, , ,58,17,0,SACRAMENTO,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"14,25"
AWP,AMERICAN RIVER AT WILLIAM B POND PARK,45,38.591,-121.332,SACRAMENTO,5,7701, , ,58,17,0,SACRAMENTO,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"14,25"
B01,19N2E07K04M HARRIS RD NR RICHVALE,93,39.511768,-121.787979,RICHVALE,5,7201, , ,158,12,2,BUTTE,BUTTE CR,Yuba County,SACRAMENTO RIVER,"14,25,170"
B02,19N2E07K03M HARRIS RD NR RICHVALE,93,39.511768,-121.787979,RICHVALE,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"25,170"
B03,19N2E07K02M HARRIS RD NR RICHVALE,93,39.511768,-121.787979,RICHVALE,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"25,170"
B04,20N2E24C01M NELSON RD NR ADOBE RD,150,39.581272,-121.70258,OROVILLE,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"14,25,170"
B05,20N2E24C02M NELSON RD NR ADOBE RD,150,39.581272,-121.70258,OROVILLE,5,7201, , ,300,12,2,BUTTE,BUTTE CR,Barstow Fire District,SACRAMENTO RIVER,"25,170"
B06,20N2E24C03M NELSON RD NR ADOBE RD,150,39.581272,-121.70258,OROVILLE,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"25,170"
B07,21N1E13L04M CHICO UNIV FARM,151,39.673446,-121.814422,CHICO,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"14,25,170"
B08,21N1E13L03M CHICO UNIV FARM,151,39.673446,-121.814422,CHICO,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"25,170"
B09,21N1E13L02M CHICO UNIV FARM,151,39.673446,-121.814422,CHICO,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"25,170"
BAC,BACON ISLAND AT OLD RIVER,0,37.96934509,-121.5721741,BRENTWOOD,5,8101, , ,703,999,0,SAN JOAQUIN,DELTA,CA Dept of Water Resources/O & M,SACRAMENTO RIVER,"1,5,14,25,100,141,144"
BAK,BATES CREEK RANCH,440,37.0208,-121.93,SANTA CRUZ,3,2901, , ,144,23,0,SANTA CRUZ,SAN LORENZO R,Santa Cruz County,CENTRAL COAST,16
BAL,BALCH PH (PG&E),1720,36.909,-119.089,PIEDRA,7,9401, , ,60,31,0,FRESNO,KINGS R,Pacific Gas & Electric,TULARE LAKE,"2,14,16,30,31,32,45,203"
BAM,BALD MOUNTAIN (KERN CO),8290,36.02,-118.279,KERNVILLE,7,9701, , ,115,39,0,KERN,KERN R,Kern County,TULARE LAKE,"14,16"
BAN,BEAR CANYON CK AT ANDERSON SPRINGS RD,1330,38.77528,-122.68861,CASTLE ROCK SPRINGS,5,8001, , ,58,15,2,LAKE,PUTAH CR,US Geological Survey,SACRAMENTO RIVER,"1,14"
BAP,BYRON AIRPORT,43,37.8306,-121.6225,BYRON,2,8101, , ,107,23,0,CONTRA COSTA,DELTA,Contra Costa County,SAN FRANCISCO BAY,"2,45"
BAR,BEAR,319,37.367,-120.217,PLANADA,6,8701, , ,56,24,11,MARIPOSA,MERCED R,US Army Corps of Engineers,SAN JOAQUIN RIVER,"2,6,15,22,23,45,76,91"
BAS,SOUTH FORK BATTLE CREEK NEAR MANTON,997,40.40580368,-121.9806747,MANTON,5,6501, , ,1,9,0,TEHAMA,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,25"
BAT,BATTLE CREEK,200,40.39820862,-122.1463852,RED BLUFF,5,6501,700,999,5,8,0,TEHAMA,SACRAMENTO R,USGS and DWR,SACRAMENTO RIVER,"1,14,20,41"
BAW,BROKEN ARROW RANCH,3083,37.524,-121.512,LIVERMORE,6,9001, , ,139,23,0,SAN JOAQUIN,SAN JOAQUIN R,San Joaquin County,SAN JOAQUIN RIVER,16
BBD,BUTTE CREEK NEAR DE SABLA,2000,39.90019608,-121.6253128,DE SABLA,5,7201, , ,1,13,0,BUTTE,BUTTE CR,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14"
BBG,BLACK BUTTE GENERATOR,393,39.815,-122.3322,ORLAND,5,6501, , ,56,12,0,TEHAMA,SACRAMENTO R,US Army Corps of Engineers,SACRAMENTO RIVER,"14,20,110,176"
BBI,BYRON BETHANY IRRIGATION DIST DIVERSION,3,37.8298,-121.5574,BYRON,2,8101, , ,717,23,16,CONTRA COSTA,DELTA,Byron Bethany Irrigation District,SAN FRANCISCO BAY,110
BBP,BLACK BUTTE POOL,518,39.8139,-122.3367,ORLAND,5,6501, , ,56,12,0,TEHAMA,SACRAMENTO R,US Army Corps of Engineers,SACRAMENTO RIVER,"14,43"
BBQ,STONEY CK BLW BLACK BUTTE DAM,366,39.8186,-122.3239,ORLAND,5,6501, , ,56,12,0,TEHAMA,SACRAMENTO R,US Army Corps of Engineers,SACRAMENTO RIVER,"1,14,25"
BBW,BW-12 IMPORT TO BUTTE CREEK,2882,39.88573074,-121.6103287,CHICO,5,7201, , ,1,13,0,BUTTE,BUTTE CR,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,25,41"
BC2,BOCA 2,5900,39.375,-120.092,TRUCKEE,8,10501, , ,999,14,0,NEVADA,TRUCKEE R,None Specified,NORTH LAHONTAN,"3,18,82"
BCA,BOCA,5575,39.383,-120.1,TRUCKEE,8,10501, , ,40,14,0,NEVADA,TRUCKEE R,National Weather Service,NORTH LAHONTAN,2
BCB,BLACKCAP BASIN,10300,37.067,-118.77,PIEDRA,7,9401,702,702,702,26,0,FRESNO,KINGS R,CA Dept of Water Resources/Snow Surveys,TULARE LAKE,"3,4,14,18,30,31,32,82"
BCC,BLACK CREEK NR COPPEROPOLIS,746,37.96103668,-120.6152039,COPPEROPOLIS,6,8501,58,1,58,24,0,CALAVERAS,STANISLAUS R,US Geological Survey,SAN JOAQUIN RIVER,"1,14,16,20"
BCD,BUTTE CREEK NR DURHAM,190,39.67801285,-121.7774811,DURHAM,5,7201, , ,1,13,0,BUTTE,BUTTE CR,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,25,41"
BCG,BUTTE CREEK NR GRIDLEY,60,39.38563156,-121.8888474,GRIDLEY,5,7201, , ,707,13,0,BUTTE,BUTTE CR,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,25,41"
BCH,BEACH MEADOWS,7650,36.12609482,-118.293457,FAIRVIEW,7,9701,702,702,702,999,0,TULARE,KERN R,CA Dept of Water Resources/Snow Surveys,TULARE LAKE,"2,3,4,14,18,30,31,32,45,82,103,104,105"
BCK,BUTTE CREEK NR CHICO,300,39.72599411,-121.7088623,CHICO,5,7201, , ,58,13,0,BUTTE,BUTTE CR,US Geological Survey,SACRAMENTO RIVER,"1,14,20,25,27,41"
BCL,BUCKS LAKE STORAGE,5168,39.897,-121.202,QUINCY,5,7301, , ,60,13,0,PLUMAS,FEATHER R,Pacific Gas & Electric,SACRAMENTO RIVER,"6,15"
BCM,BRUSH CREEK (DWR-2),3560,39.694,-121.34,OROVILLE,5,7301, , ,1,13,0,BUTTE,FEATHER R,CA Dept of Water Resources,SACRAMENTO RIVER,"2,45"
BCO,SOUTH FORK BIG RIVER NEAR COMPTCHE,510,39.23,-123.463,COMPTCHE,1,1605, , ,1,11,0,MENDOCINO,BIG R,CA Dept of Water Resources,NORTH COAST,"1,14,25"
BCP,BROWNS CAMP,5400,39.9,-121.257,,5,7301, , ,62,13,0,PLUMAS,FEATHER R,Pacific Gas and Electric Company,SACRAMENTO RIVER,"3,18,82"
BCQ,CHOWCHILLA R BLW BUCHANAN DAM,420,37.2156,-119.9903,RAYMOND,6,8801, , ,56,25,0,MADERA,CHOWCHILLA R,US Army Corps of Engineers,SAN JOAQUIN RIVER,"1,14,25"
BCR,BRUSH CREEK RS,3520,39.69,-121.34,OROVILLE,5,7301, , ,44,13,0,BUTTE,FEATHER R,US Forest Service,SACRAMENTO RIVER,"2,45"
BCW,BULL CREEK NEAR WEOTT,269,40.35152817,-124.005043,WEOTT,1,1201, , ,58,6,0,HUMBOLDT,EEL R,US Geological Survey,NORTH COAST,"1,14,20"
BCY,BUCKEYE ROUGHS,7900,38.188,-119.442,,8,10801, , ,999,19,0,MONO,WALKER R,None Specified,NORTH LAHONTAN,"3,18,82"
BDC,BOULDER CREEK,800,37.142,-122.163,BOULDER CREEK,3,2901, , ,144,22,0,SANTA CRUZ,SAN LORENZO R,Santa Cruz County,CENTRAL COAST,"2,16,45"
BDE,BODIE,8370,38.217,-119.017,BODIE,8,10801, , ,40,19,0,MONO,WALKER R,National Weather Service,NORTH LAHONTAN,2
BDF,BADGER FLAT,8300,37.265,-119.108,,6,9001, , ,68,25,0,FRESNO,SAN JOAQUIN R,Southern California Edison Company,SAN JOAQUIN RIVER,"3,18,82"
BDG,BRIDGEPORT R S,6470,38.25,-119.233,BRIDGEPORT,8,10801, , ,44,19,0,MONO,WALKER R,US Forest Service,NORTH LAHONTAN,2
BDH,BUTTE CK NR DURHAM BLW GORRILL DAM,133,39.6021694,-121.785075,DURHAM,5,7201, , ,707,12,2,BUTTE,BUTTE CR,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14"
BDL,BELDON LANDING,0,38.1869,-121.9708,FAIRFIELD,5,6501, , ,705,17,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,5,14,25,100"
BDM,BALD MOUNTAIN (USBR),4720,37.067,-119.4,AUBERRY,6,9001,50,700,50,25,0,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,4,14,16,30,31,32,45"
BDP,BRIDGEPORT RESERVOIR,6466,38.325,-119.211,BRIDGEPORT,8,10801, , ,5,19,0,MONO,WALKER R,USGS and DWR,NORTH LAHONTAN,15
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,0,37.865,-121.3231,LATHROP,6,9001, , ,703,23,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/O & M,SAN JOAQUIN RIVER,"1,5,14,20,21,25,41,100,141,144"
BDV,BLACK RASCAL DIVERSION,183,37.3328,-120.3944,PLANADA,6,8701, , ,56,24,0,MERCED,MERCED R,US Army Corps of Engineers,SAN JOAQUIN RIVER,"1,2,4,12,14,20"
BDY,BRANDY CREEK,1300,40.617,-122.567,WHISKEYTOWN,5,7001, , ,50,8,0,SHASTA,SACTO VLY NE,US Bureau of Reclamation,SACRAMENTO RIVER,"2,4,14,16,30,31,32,45"
BEG,BEAR RIDGE,7400,37.037,-119.087,,7,9401, , ,999,25,0,FRESNO,KINGS R,None Specified,TULARE LAKE,"3,18,82"
BEM,BELL MEADOW,6500,38.167,-119.942,PINECREST,6,8601, , ,37,19,0,TUOLUMNE,TUOLUMNE R,Summit Ranger District,SAN JOAQUIN RIVER,"3,18,82"
BEN,MOKELUMNE R @ BENSON'S FERRY NR THORNTON,0,38.2551384,-121.4400864,THORNTON,6,8301,700,999,704,999,0,SAN JOAQUIN,MOKELUMNE R,CA Dept of Water Resources/NCRO,SAN JOAQUIN RIVER,"1,14,141,144,169"
BER,BERRYESSA,456,38.513,-122.104,WINTERS,5,8001, , ,50,16,10,NAPA,PUTAH CR,US Bureau of Reclamation,SACRAMENTO RIVER,"6,15,22,23,45,76"
BET,BETHEL ISLAND,9,38.04109192,-121.6321869,RIO VISTA,5,8101, , ,1,999,0,CONTRA COSTA,DELTA,CA Dept of Water Resources,SACRAMENTO RIVER,"5,14,25,27,61,100,222,223,224"
BEV,SOUTH CANAL FROM BEAR RIVER,1980,39.133,-120.953,GRASS VALLEY,5,7501, , ,60,14,0,PLACER,BEAR R,Pacific Gas & Electric,SACRAMENTO RIVER,"69,110"
BFC,BUFFALO CREEK,3900,40.5819,-119.79,In state of Nevada,8,1, , ,59,0,0,State of Nevada,NOT SPECIFIED,US Bureau of Land Management,NORTH LAHONTAN,"2,4,9,10,12,13,14"
BGB,BIG BAR,1270,40.733,-123.2,WEAVERVILLE,1,901, , ,44,7,0,TRINITY,TRINITY R,US Forest Service,NORTH COAST,"2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
