PWS_NAME,PWSID,WDCODE,SOURCE,CONNECTIONS,TYPE,AREA,OWNERSHIP,Shape_STAr,Shape_STLe,Basin_count,BasinNo,AB3030,ABTOC,Abmonth,SB1938,SBTOC,Sbmonth,no.irwms,IWRM,MPTOC1,name.irwm1,IRWMorg1,MPTOC2,name.irwmp2,IRWMorg2,MPTOC3,name.irwmp3,IRWMorg3,member
Allensworth Community Services District,5400544,36,Groundwater,110,Community,Residential Area,Local,3169065.632,11359.5091,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Almond Park Water System,3900517,NA,Groundwater,20,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Alpaugh Community Services District,5410050,NA,Groundwater,379,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Alpaugh Irrigation District,NA,39,NA,NA,NA,NA,NA,43673017.16,54208.57464,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Alpaugh Joint Powers Authority,NA,40,NA,NA,NA,NA,NA,71917.63569,1097.453935,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Alpine County Water Agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,42892,1,2/1/2007,NA,1,2/1/2007,NA,1,1,1/1/2013,Mokelumne-Amador-Calaveras,10,,,NA,,,,NA
Alpine Springs County Water District,3110029,44,Groundwater,642,Community,Residential Area,Local,8456347.081,55710.43114,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Alpine Water Users Association,NA,45,NA,NA,NA,NA,NA,1314489.165,6536.385671,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Alta Irrigation District,NA,47,NA,NA,NA,NA,NA,543241068.6,149748.87,17,5-22.08,1,8/14/1994,20.5,1,6/10/2010,NA,1,1,10/17/2012,Kings Basin,17,,,NA,,,,NA
Alturas  City Of,2510001,49,Groundwater,1372,Community,Residential Area,Local,6455740.915,14128.60585,NA,NA,0,NA,NA,0,NA,NA,1,1,12/5/2013,Upper Pit River Watershed,21,,,NA,,,,NA
Amador City Of,NA,2953,NA,NA,NA,NA,NA,2337387.281,10913.79989,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Amador County Service Area Nos 3 And 6,310021,52,Groundwater,729,Community,Residential Area,Local,40791.89874,797.268158,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Amador Water Agency,310012,4151,Surface Water,6165,Community,Wholesaler (Sells Water),Local,7844326.646,23093.46952,NA,NA,0,NA,NA,0,NA,NA,1,1,1/1/2013,Mokelumne-Amador-Calaveras,10,,,NA,,,,NA
American Canyon  City Of,2810005,57,Surface Water,5267,Community,Residential Area,Local,79494185.26,43377.40948,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
American Canyon County Water District,NA,58,NA,NA,NA,NA,NA,8745983.633,33818.27791,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
American Canyon County Water Service Agreement,NA,59,NA,NA,NA,NA,NA,79490458.64,43377.0926,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Anaheim  City Of,3010001,64,Surface Water,62998,Community,Residential Area,Local,131798912.6,118899.0407,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2011,North Orange County,33,,,NA,,,,NA
Ananda Water Department,NA,4339,NA,NA,NA,NA,NA,18219.15211,527.2769729,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Anderson  City Of,4510001,66,Groundwater,3339,Community,Other Area,Local,16079343.79,30657.69575,NA,NA,1,1/27/1998,NA,0,NA,NA,1,1,12/12/2006,Sacramento Valley,33,,,NA,,,,NA
Anderson-Cottonwood Irrigation District,NA,67,NA,NA,NA,NA,NA,68416300.36,107973.1451,NA,NA,1,1/27/1998,NA,1,4/13/2006,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Angels  City Of,510003,71,Surface Water,1773,Community,Residential Area,Local,9503141.114,18511.85555,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Angels Camp  City Of,NA,73,NA,NA,NA,NA,NA,7755115.296,18495.33497,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2013,Tuolomne-Stanislaus,28,,,NA,,,,NA
Angiola Water District,NA,75,NA,NA,NA,NA,NA,148244648.1,123134.1741,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Antelope Valley Water Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,16224,0,NA,NA,1,10/1/2007,69,1,1,10/1/2007,Antelope Valley,12,,,NA,,,,NA
Antelope Valley-East Kern Water Agency,1910045,79,Surface Water,48,Community,Wholesaler (Sells Water),Local,6297718969,570408.4338,NA,NA,0,NA,NA,0,NA,NA,1,1,10/1/2007,Antelope Valley,12,,,NA,,,,NA
Antioch  City Of,710001,82,Surface Water,31568,Community,Residential Area,Local,75163906.83,61375.07121,NA,NA,0,NA,NA,0,NA,NA,1,1,7/1/2005,East Contra Costa County,9,,,NA,,,,NA
Apple Valley Heights County Water District,3600009,86,Groundwater,307,Community,Residential Area,Local,3920954.824,10441.00819,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Arbuckle Public Utility District,610001,92,Groundwater,794,Community,Other Area,Local,2165289.614,11202.76223,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Arcadia  City Of,1910003,93,Groundwater,14264,Community,Residential Area,Local,26758408.18,30262.20898,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Arcata  City Of,1210001,94,Groundwater,5537,Community,Residential Area,Local,25788824.69,43632.40667,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Armona Community Services Dist,1610001,NA,Groundwater,1336,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Aromas Water District,NA,98,NA,NA,NA,NA,NA,10005633.56,26267.19209,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Arrowbear Park County Water District,3610110,NA,Groundwater,963,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Arroyo Grande  City Of,4010001,99,Surface Water Purchased,6560,Community,Residential Area,Local,14730859.84,26760.65343,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,1,1,10/11/2005,San Luis Obispo County,26,,,,NA
Artois Community Service District,1100203,100,Groundwater,53,Community,Residential Area,Local,1181333.11,9164.350269,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Arvin Community Service District,1510001,102,Groundwater,3703,Community,Residential Area,Local,5037414.338,9877.439764,NA,NA,0,NA,NA,0,NA,NA,1,1,11/14/2011,Kern,46,,,NA,,,,NA
Arvin-Edison Water Storage District,NA,101,NA,NA,NA,NA,NA,534917068,162330.8091,NA,NA,0,NA,NA,1,1/14/2003,NA,1,1,11/14/2011,Kern,46,,,NA,,,,NA
Atwater  City Of,2410001,110,Groundwater,7016,Community,Residential Area,Local,13432482.65,20468.79199,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Atwell Island Water District,NA,111,NA,NA,NA,NA,NA,28963906.1,40057.95438,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Auburn Valley Community Service District,NA,4215,NA,NA,NA,NA,NA,1177439.253,6527.637961,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Avenal City Of,1610002,114,Surface Water,1927,Community,Residential Area,Local,186932078.2,64692.43316,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Avila Beach Community Service District,4000222,116,Surface Water Purchased,339,Community,Residential Area,Local,726636.045,5838.705766,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Azusa  City Of,1910007,117,Surface Water,22853,Community,Residential Area,Local,19814181.81,27521.25854,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Baker Community Services District,3600022,NA,Groundwater,87,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Bakersfield  City Of,1510031,123,Surface Water Purchased,42384,Community,Residential Area,Local,63751399.83,78802.90066,NA,NA,0,NA,NA,0,NA,NA,1,1,11/14/2011,Kern,46,,,NA,,,,NA
Bakman Water Company,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,5-22.08,0,NA,NA,1,12/1/2006,59,NA,0,NA,NA,NA,,,NA,,,,600000
Bakman Water Company,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5-22.07,0,NA,NA,1,12/1/2006,59,1,1,10/17/2012,Kings Basin,17,,,NA,,,,600000
Ballico Community Service District,2400167,126,Groundwater,72,Community,Residential Area,Mixed,715672.6495,4581.55178,NA,NA,1,10/14/1997,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Ballico-cortez Water District,NA,127,NA,NA,NA,NA,NA,26863524.51,49349.74411,NA,NA,1,10/14/1997,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Banning City Of,3310006,NA,Groundwater,10530,Community,Other Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Banta - Carbona Irrigation District,NA,130,NA,NA,NA,NA,NA,67704607.62,64864.5797,NA,NA,1,5/21/1996,NA,0,NA,NA,1,1,7/9/2014,Westside-San Joaquin,25,,,NA,,,,NA
Bear Valley Community Service District,1510038,NA,Groundwater,2938,Community,Residential Area,Local,NA,NA,NA,NA,1,10/10/1998,NA,0,NA,NA,1,1,11/14/2011,Kern,46,,,NA,,,,NA
Beaumont - Cherry Valley Water District,3310002,159,Groundwater,14867,Community,Other Residential Area,Local,25976973.35,71588.1957,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Bella Vista Water District,4510014,167,Surface Water,6265,Community,Residential Area,Local,2561445.31,69169.74179,NA,NA,1,1/27/1998,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Bellflower  City Of,1910018,169,Surface Water Purchased,1825,Community,Residential Area,Local,1571488.258,16277.38296,NA,NA,0,NA,NA,0,NA,NA,1,1,6/13/2007,Gateway,29,,,NA,,,,NA
Belmont County Water District,NA,173,NA,NA,NA,NA,NA,12713416.78,20890.88902,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Belridge Water Storage District,NA,176,NA,NA,NA,NA,NA,376872187,237344.1816,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Benicia  City Of,4810001,178,Surface Water,9813,Community,Residential Area,Local,36348462.87,33910.57316,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Berrenda Mesa Water District,NA,181,NA,NA,NA,NA,NA,228865236.4,187892.9753,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Berry Creek Community Service District,400016,NA,Groundwater,36,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Bertsch-Ocean View Community Service District,810003,185,Groundwater Purchased,629,Community,Other Area,Local,3710621.03,13253.7972,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,,,NA
Beverly Hills  City Of,1910156,193,Surface Water Purchased,10019,Community,Residential Area,Local,16454255.62,31199.84879,NA,NA,1,5/4/1999,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Big Bear  City Of,NA,196,NA,NA,NA,NA,NA,24074843.06,73357.84572,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Big Bear City Community Service District,3610008,199,Groundwater,6282,Community,Residential Area,Local,317234345.2,76920.57356,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Big Bear Lake  City Of,3610044,198,Groundwater,16646,Community,Residential Area,Local,2581664.424,6421.487821,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Big Creek Community Service District,1000005,202,Surface Water Purchased,67,Community,Residential Area,Local,138670.9459,2781.659373,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Big Lagoon Community Services District,NA,204,NA,NA,NA,NA,NA,193167.0638,2418.46479,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Big Pine Community Service District,1410006,208,Groundwater Purchased,330,Community,Municipality,Local,1582911.425,6489.898171,NA,NA,0,NA,NA,0,NA,NA,1,1,12/15/2010,Inyo-Mono,32,,,NA,,,,NA
Big Rock Community Service District,800532,NA,Groundwater,113,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Big Springs Irrigation District,NA,211,NA,NA,NA,NA,NA,12474781.56,27667.66181,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Biggs City Of,410001,562,Groundwater,650,Community,Residential Area,Local,143007455.5,89472.90719,84,5-21.59,0,NA,NA,0,NA,NA,2,1,5/14/2014,Northern Sacramento Valley,14,12/12/2006,Sacramento Valley,33,,,,359
Biggs-West Gridley Water District,NA,217,NA,NA,NA,NA,NA,140824714.4,87332.16872,84,5-21.59,1,11/15/1995,35.5,0,NA,NA,2,1,5/14/2014,Northern Sacramento Valley,14,12/12/2006,Sacramento Valley,33,,,,359
Bighorn Desert View Water Agency-Goat Mountain Irrigation District,3610060,NA,Groundwater,647,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Bighorn Desert View Water Authority,3610009,203,Groundwater,1935,Community,Residential Area,Local,113139657.7,104647.5136,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Biola Community Services District,1010049,220,Groundwater,300,Community,Residential Area,Local,987946.5041,4337.137635,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Birchim Community Service District,2600501,4298,Groundwater,55,Community,Residential Area,Local,322046.9219,2407.562155,NA,NA,0,NA,NA,0,NA,NA,1,1,12/15/2010,Inyo-Mono,32,,,NA,,,,NA
Bishop  City Of,1410001,222,Groundwater,1152,Community,Residential Area,Local,4519272.198,12155.44617,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Blue Lake  City Of,1210002,234,Groundwater Purchased,681,Community,Other Area,Local,4912753.579,10159.50001,NA,NA,0,NA,NA,0,NA,NA,1,1,7/1/2014,North Coast,74,,,NA,,,,NA
Blythe  City Of,3310003,241,Groundwater,3396,Community,Residential Area,Local,55706328.83,66672.07835,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Bodega Bay Public Utilities District,4910021,245,Groundwater,1058,Community,Residential Area,Local,12566414.41,29305.22907,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Bolinas Community Public Utility District,2110005,246,Surface Water,587,Community,Residential Area,Local,6419695.421,18741.01351,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Boron Community Services District,1510002,249,Surface Water Purchased,582,Community,Residential Area,Local,4842043.491,22627.18687,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Borrego Springs Park Community Services District,NA,250,NA,NA,NA,NA,NA,5308747.733,9866.891169,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Borrego Water District,3710036,251,Groundwater,2073,Community,Other Residential Area,Local,129628874.9,89473.57237,111,7/24/2017,1,10/18/2002,118.5,0,N/A,NA,1,1,3/1/2009,Anza Borrego Desert,3,,,NA,,,,2535
Brawley  City Of,1310001,262,Surface Water Purchased,5683,Community,Other Residential Area,Local,22637353.72,22714.01343,NA,NA,0,NA,NA,0,NA,NA,1,1,10/1/2012,Imperial,9,,,NA,,,,NA
Brea  City Of,3010002,263,Surface Water Purchased,13722,Community,Residential Area,Local,59350563.39,47603.67917,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2011,North Orange County,33,,,NA,,,,NA
Brentwood  City Of,NA,264,NA,NA,NA,NA,NA,24164348.5,42741.47489,NA,NA,0,NA,NA,0,NA,NA,1,1,7/1/2005,East Contra Costa County,9,,,NA,,,,NA
Briceland Community Services District,1200587,266,Surface Water,26,Community,Residential Area,Local,3368333.201,9489.169188,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Bridgeport Public Utilities District,2610003,269,Groundwater,281,Community,Residential Area,Local,2786366.822,13240.17993,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Brisbane  City Of,4110002,270,Surface Water Purchased,1272,Community,Residential Area,Local,5588850.189,16817.13317,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Broadview Water District,1009298,NA,Unknown,6,Unknown,Residential Area,Unknown,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,1,7/9/2014,Westside-San Joaquin,25,,,NA,,,,NA
Brooktrails Township Community Service District,2310009,276,Surface Water,1554,Community,Residential Area,Local,32834731.35,44844.05794,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Brophy Water District,NA,277,NA,NA,NA,NA,NA,69607146.52,51112.01524,119,5-21.61,1,3/1/2005,146,1,12/28/2010,108,2,1,2/1/2008,Yuba County,27,12/12/2006,Sacramento Valley,33,,,,1200
Browns Valley Irrigation District,NA,278,NA,NA,NA,NA,NA,204607994.1,187467.4828,121,5-21.60,1,3/1/2005,146,1,12/28/2010,108,2,1,2/1/2008,Yuba County,27,12/12/2006,Sacramento Valley,33,,,,1200
Buckingham Park County Water District,1710011,280,Surface Water,457,Community,Residential Area,Local,6085259.783,10681.841,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Buellton  City Of,4210018,282,Surface Water Purchased,1643,Community,Residential Area,Local,4152064.333,12009.79723,NA,NA,0,NA,NA,0,NA,NA,1,1,5/1/2007,Santa Barbara County,35,,,NA,,,,NA
Buena Park  City Of,3010003,283,Surface Water Purchased,19004,Community,Residential Area,Local,27414042.39,40304.11678,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2011,North Orange County,33,,,NA,,,,NA
Buena Vista Water Storage District,NA,284,NA,NA,NA,NA,NA,204255084,143992.1021,NA,NA,1,9/9/1997,NA,0,NA,NA,1,1,11/14/2011,Kern,46,,,NA,,,,NA
Burbank  City Of,1910179,285,Surface Water Purchased,25549,Community,Residential Area,Local,44201201.55,29608.91282,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Burlingame  City Of,4110003,286,Surface Water Purchased,9088,Community,Residential Area,Local,12216391.35,20797.13614,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Burney Water District,4510003,288,Groundwater,1313,Community,Other Area,Local,8053649.39,31691.70825,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Butte Basin Water Users Association,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,5-21.59,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Butte City Community Service District,1100711,295,Groundwater,48,Community,Residential Area,Local,2049432.047,6657.60966,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Butte County Dept of Water and Resource Conservation,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,5-21.59,1,9/1/2004,140,1,9/1/2004,32,1,1,5/14/2014,Northern Sacramento Valley,40,,,NA,,,,NA
Butte County Dept of Water and Resource Conservation,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,5-21.60,1,9/1/2004,140,1,9/1/2004,32,1,1,5/14/2014,Northern Sacramento Valley,40,,,NA,,,,NA
Butte County Dept of Water and Resource Conservation,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,5-21.58,1,9/1/2004,140,1,9/1/2004,32,1,1,5/14/2014,Northern Sacramento Valley,40,,,NA,,,,NA
Butte County Dept of Water and Resource Conservation,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,5-21.57,1,9/1/2004,140,1,9/1/2004,32,1,1,5/14/2014,Northern Sacramento Valley,40,,,NA,,,,NA
Butte Valley Irrigation District,NA,303,NA,NA,NA,NA,NA,406972499.3,167757.774,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Butte Water District,NA,304,NA,NA,NA,NA,NA,105305687.1,165351.8334,84,5-21.59,1,5/13/1996,40.5,0,NA,NA,2,1,5/14/2014,Northern Sacramento Valley,14,12/12/2006,Sacramento Valley,33,,,,650
Buttonwillow Community Water District,1510011,305,Groundwater,445,Community,Residential Area,Local,774186.2718,6638.757766,NA,NA,0,NA,NA,0,NA,NA,1,1,11/14/2011,Kern,46,,,NA,,,,NA
Buzztail Community Service District,NA,307,NA,NA,NA,NA,NA,2945622.993,9263.713154,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Byron Bethany Irrigation District,NA,309,NA,NA,NA,NA,NA,117313663.4,199500.8518,NA,NA,0,NA,NA,0,NA,NA,1,1,7/9/2014,Westside-San Joaquin,25,,,NA,,,,NA
Cabazon County Water District,3310047,342,Groundwater,925,Community,Other Residential Area,Local,26925511.26,44957.77593,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Cal Domestic Water Service District,NA,349,NA,NA,NA,NA,NA,165133.9103,3360.022012,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Calaveras County Water District,510016,4168,Surface Water & Groundwater,12959,Community,Residential Area,Local,15189761.04,40041.70367,NA,NA,1,9/12/2001,NA,1,10/24/2007,NA,2,1,1/1/2013,Mokelumne-Amador-Calaveras,10,8/1/2013,Tuolomne-Stanislaus,28,,,,NA
Calaveras Public Utilities District,510002,352,Surface Water,1903,Community,Residential Area,Local,92916339.6,99818.10115,NA,NA,0,NA,NA,1,2007,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Calexico  City Of,1310002,353,Surface Water Purchased,8274,Community,Other Residential Area,Local,14656100.14,21351.92603,NA,NA,0,NA,NA,0,NA,NA,1,1,10/1/2012,Imperial,9,,,NA,,,,NA
California Pines Community Service District,2500503,380,Groundwater,130,Community,Residential Area,Local,105288646.4,159697.6961,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Calistoga  City Of,2810002,430,Surface Water,1528,Community,Residential Area,Local,9566624.059,21762.75256,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Callahan Water District,4700503,NA,Surface Water,29,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Callayomi County Water District,1710013,432,Groundwater,289,Community,Residential Area,Local,1068674.947,5498.494824,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Calleguas Municipal Water District,5610050,433,Surface Water,93,Community,Wholesaler (Sells Water),Local,852955519.6,183523.1698,NA,NA,0,NA,NA,0,NA,NA,1,1,11/29/2006,Watersheds Coalition of Ventura County,33,,,NA,,,,NA
